iter	RMSE
149	0.3661229459
150	0.3655678842
151	0.3649727726
152	0.3644730671
153	0.3640484343
154	0.3637084003
155	0.3632898266
156	0.3630297765
157	0.3627003089
158	0.3623441018
159	0.361942777
160	0.3616827215
161	0.3612435109
162	0.3608837186
163	0.3606710212
164	0.3605223895
165	0.3601440129
166	0.3597788466
167	0.3595760427
168	0.3592297554
169	0.3588023272
170	0.3584819055
171	0.3581396784
172	0.3579626207
173	0.3577212364
174	0.3572741877
175	0.3569950859
176	0.3565779946
177	0.3561690259
178	0.3558626386
179	0.3556107702
180	0.3553085173
181	0.354922926
182	0.354646438
183	0.354112221
184	0.3539076159
185	0.3537817949
186	0.3534848694
187	0.3532529369
188	0.3530076055
189	0.3528137163
190	0.3525467013
191	0.3523152206
192	0.352115891
193	0.3517414029
194	0.351431375
195	0.3511460217
196	0.3508564861
197	0.3506436808
198	0.3504384392
199	0.350057712
200	0.3498820296
201	0.3496299329
202	0.3492123568
203	0.3488899111
204	0.3488336257
205	0.3485430508
206	0.3482997266
207	0.3480965731
208	0.347778879
209	0.34741399
210	0.3470966315
211	0.346925767
212	0.3468944156
213	0.3466514384
214	0.3463778127
215	0.3460330702
216	0.3457890448
217	0.3454409517
218	0.3450388439
219	0.3448199698
220	0.3444964535
221	0.3442765867
222	0.3442241588
223	0.3440359739
224	0.3438335787
225	0.3435733923
226	0.3433590632
227	0.3430532468
228	0.3430027165
229	0.3427557756
230	0.3425279159
231	0.3422171975
232	0.341970615
233	0.3417664404
234	0.3415425881
235	0.341498899
236	0.3410570566
237	0.3407422163
238	0.3404140028
239	0.3402175806
240	0.3399246846
241	0.3396728657
242	0.3393673176
243	0.3393483766
244	0.3391985192
245	0.338964131
246	0.3388132107
247	0.3386054445
248	0.338374875
249	0.3381688644
250	0.337901109
251	0.3377020802
252	0.3373581924
253	0.3370698215
254	0.3367981954
255	0.336639774
256	0.3364144543
257	0.3362611648
258	0.3360302415
259	0.3357993932
260	0.3356264122
261	0.3354057669
262	0.3352158702
263	0.3349397591
264	0.3347386214
265	0.3345149811
266	0.3342387496
267	0.334113719
268	0.3338364067
269	0.3336700434
270	0.3335203525
271	0.3333147498
272	0.3330861406
273	0.3330756306
274	0.3329088122
275	0.3327093154
276	0.3324808677
277	0.3322334674
278	0.3319751234
279	0.3317865585
280	0.3316477456
281	0.3314635
282	0.3312271469
283	0.3309633788
284	0.3307148157
285	0.3306492998
286	0.3305289214
287	0.330323517
288	0.3301018894
289	0.3297362221
290	0.3295720903
291	0.3293701895
292	0.3290887741
293	0.3288347231
294	0.3286337987
295	0.328444956
296	0.3282771088
297	0.3281232884
298	0.3279530675
299	0.3278116004
300	0.3277115362
301	0.3275507108
302	0.3273258832
303	0.3271867429
304	0.3271109659
305	0.3269522166
306	0.3268130538
307	0.3265170217
308	0.3263996593
309	0.3262153845
310	0.326050289
311	0.3258265233
312	0.3256111758
313	0.3255058343
314	0.3253801017
315	0.3252077589
316	0.3250649607
317	0.3249374426
318	0.3248257844
319	0.3247434228
320	0.3246786792
321	0.324507378
322	0.3243525037
323	0.3243179262
324	0.3241681033
325	0.3239912898
326	0.3238438878
327	0.3237389382
328	0.3235956523
329	0.3233552812
330	0.3231704092
331	0.3230228259
332	0.3229017794
333	0.3227793864
334	0.3225537021
335	0.3224071546
336	0.3223106961
337	0.322203252
338	0.322066311
339	0.3218987988
340	0.3217792884
341	0.3216775407
342	0.3215401246
343	0.3214504649
344	0.3214367137
345	0.3212620172
346	0.3210910147
347	0.3209949738
348	0.3208504143
349	0.3206588566
350	0.3204934202
351	0.3203527542
352	0.3201868533
353	0.3199947841
354	0.319859576
355	0.3196939608
356	0.3196342579
357	0.319481612
358	0.3193323415
359	0.3191532556
360	0.3190110281
361	0.3189973445
362	0.3188899529
363	0.3187063252
364	0.3185831942
365	0.3185217514
366	0.31842193
367	0.3182839434
368	0.3181556311
369	0.3181322252
370	0.3180258908
371	0.3178968839
372	0.317755964
373	0.3177091612
374	0.3175035001
375	0.3173770773
376	0.3172736091
377	0.3171737215
378	0.3170135597
379	0.3168892486
380	0.3166789117
381	0.3165122858
382	0.3163620742
383	0.316273736
384	0.3160917612
385	0.3159966698
386	0.3158131233
387	0.3156825866
388	0.3155214654
389	0.3154414743
390	0.3152494511
391	0.3150749891
392	0.3149310203
393	0.3147068772
394	0.3146172682
395	0.3144479594
396	0.3143226721
397	0.314207556
398	0.3140479567
399	0.313946944
400	0.3138765491
401	0.3137551292
402	0.3136065709
403	0.3133306395
404	0.3132162336
405	0.3130795484
406	0.3130716583
407	0.3130611248
408	0.312883377
409	0.3126163091
410	0.3125173741
411	0.3124103327
412	0.3122507306
413	0.3121759514
414	0.3120727433
415	0.3119953507
416	0.3119135358
417	0.311829727
418	0.311733582
419	0.3115958134
420	0.3114892289
421	0.311426962
422	0.311329935
423	0.3112292256
424	0.3110830857
425	0.3110016832
426	0.3108872041
427	0.3107562783
428	0.3106610764
429	0.310541563
430	0.3104198315
431	0.3101983002
432	0.3100719483
433	0.309979951
434	0.3098893003
435	0.3097667229
436	0.3096864269
437	0.3095949083
438	0.3095062395
439	0.309402025
440	0.3092640262
441	0.3091616234
442	0.3090126045
443	0.3089383933
444	0.3088293143
445	0.3087275464
446	0.3087208836
447	0.308641199
448	0.3085052363
449	0.3084389649
450	0.3082495608
451	0.3081513476
452	0.3080271377
453	0.3079069662
454	0.3078309013
455	0.3077751431
456	0.3077337588
457	0.3076486942
458	0.307577299
