item_type,count,mean_price,median_price,std_price
Plastic-Thermal,55112,1707.313347002468,100.0,5247.852264205117
Pavement Marking Misc.,21512,187.3395021383414,28.75,931.626821467634
Painted,10363,1116.2156518382708,761.25,3281.4721847195556
Plastic-Preformed,405,947.2595802469136,800.0,1066.2409354198153
