contract_number,county,num_counties,multi_county,work_type,road_type,project_description,project_length,project_length_unit,has_grading,has_drainage,has_bridge,has_retaining_wall,has_paving,has_guardrail,has_signs,has_lighting,has_signals,has_pavement_marking,has_barrier,has_concrete,has_mowing,has_chip_seal,has_crack_seal
CNU375,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU019,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU372,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNU042,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",21,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNR036,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RANDOM ON-CALL PAVEMENT MARKING AND RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY049,"CHESTER, CROCKETT, DECATUR, HARDEMAN, HARDIN, HAYWOOD, HENDERSON, MADISON, AND MCNAIRY",9,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY058,"BLEDSOE, COFFEE, DEKALB, FENTRESS, GRUNDY, HAMILTON, JACKSON, MARION, PICKETT, POLK, PUTNAM, AND WARREN",12,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY055,"BLEDSOE, BRADLEY, CANNON, CLAY, COFFEE, CUMBERLAND, DEKALB, FENTRESS, FRANKLIN, GRUNDY, HAMILTON, JACKSON,
MARION, MCMINN, MEIGS, OVERTON, PICKETT, POLK, PUTNAM, RHEA, SEQUATCHIE, VAN BUREN, WARREN, AND WHITE",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY050,"BENTON, CARROLL, CHESTER, CROCKETT, DECATUR, DYER, FAYETTE, GIBSON, HARDEMAN, HARDIN, HAYWOOD,
HENDERSON, HENRY, LAKE, LAUDERDALE, MADISON, MCNAIRY, OBION, SHELBY, TIPTON, AND WEAKLEY",21,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNR050,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, AND SCOTT",19,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY044,"BEDFORD, CHEATHAM, DAVIDSON, DICKSON, GILES, HICKMAN, HOUSTON, HUMPHREYS, LAWRENCE, LEWIS, LINCOLN,
MACON, MARSHALL, MAURY, MONTGOMERY, MOORE, PERRY, ROBERTSON, RUTHERFORD, SMITH, STEWART, SUMNER, TROUSDALE,
WAYNE, WILLIAMSON, AND WILSON",26,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY052,"ANDERSON, CAMPBELL, CARTER, COCKE, GRAINGER, GREENE, HAMBLEN, HAWKINS, JOHNSON, MONROE, MORGAN, SCOTT,
SEVIER, SULLIVAN, AND UNICOI",15,1,Pavement Marking,Other,THE RETRACING OF PAINTED PAVEMENT MARKING LINES ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CNY053,"ANDERSON, BLOUNT, CAMPBELL, CARTER, CLAIBORNE, COCKE, GRAINGER, GREENE, HAMBLEN, HANCOCK, HAWKINS,
JEFFERSON, JOHNSON, KNOX, LOUDON, MONROE, MORGAN, ROANE, SCOTT, SEVIER, SULLIVAN, UNICOI, UNION, AND WASHINGTON",24,1,Pavement Marking,Other,THE RETRACING OF PAVEMENT MARKINGS WITH SPRAY THERMOPLASTIC AND RANDOM ON-CALL PAVEMENT MARKING ON VARIOUS INTERSTATE AND STATE ROUTES.,0.0,MILES,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
