item_no,description,unit,description_expanded,item_class,item_type
716-11.01,SPRAY THERMO PAVEMENT MARKING (4IN LINE),L.M.,SPRAY THERMOPLASTIC PAVEMENT MARKING (4IN LINE),,Plastic-Thermal
716-12.01,ENHANCED FLATLINE THERMO  PVMT MRKNG (4IN LINE),L.M.,ENHANCED FLATLINE THERMOPLASTIC  PAVEMENT MARKING (4IN LINE),Pavement Marking,Plastic-Thermal
716-12.02,ENHANCED FLATLINE THERMO  PVMT MRKNG (6IN LINE),L.M.,ENHANCED FLATLINE THERMOPLASTIC  PAVEMENT MARKING (6IN LINE),Pavement Marking,Plastic-Thermal
716-12.03,ENHANCED FLATLINE THERMO  PVMT MRKNG (8IN BARRIER LINE),L.F.,ENHANCED FLATLINE THERMOPLASTIC  PAVEMENT MARKING (8IN BARRIER LINE),Pavement Marking,Plastic-Thermal
716-12.04,ENHANCED FLATLINE THERMO  PVMT MRKNG (4IN DOTTED LINE),L.F.,ENHANCED FLATLINE THERMOPLASTIC  PAVEMENT MARKING (4IN DOTTED LINE),Pavement Marking,Plastic-Thermal
716-12.05,ENHANCED FLATLINE THERMO  PVMT MRKNG (6IN DOTTED LINE),L.F.,ENHANCED FLATLINE THERMOPLASTIC  PAVEMENT MARKING (6IN DOTTED LINE),Pavement Marking,Plastic-Thermal
716-12.06,ENHANCED FLAT LINE THERMO (8IN LINE),L.F.,ENHANCED FLAT LINE THERMOPLASTIC (8IN LINE),Pavement Marking,Plastic-Thermal
716-12.07,ENHANCED FLAT LINE THERMO (8IN BROKEN LN),L.F.,ENHANCED FLAT LINE THERMOPLASTIC (8IN BROKEN LN),Pavement Marking,Plastic-Thermal
716-12.08,ENHANCED FLAT LINE THERMO (12IN BARRIER LINE),L.F.,ENHANCED FLAT LINE THERMOPLASTIC (12IN BARRIER LINE),Pavement Marking,Plastic-Thermal
716-12.09,ENHANCED FLAT LINE THERMO (12IN LINE),L.F.,ENHANCED FLAT LINE THERMOPLASTIC (12IN LINE),Pavement Marking,Plastic-Thermal
716-12.10,ENHANCED FLAT LINE THERMO (12IN DOTTED),L.F.,ENHANCED FLAT LINE THERMOPLASTIC (12IN DOTTED),Pavement Marking,Plastic-Thermal
716-13.01,SPRAY THERMO PVMT MRKNG (60 mil) (4IN LINE),L.M.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 mil) (4IN LINE),Pavement Marking,Plastic-Thermal
716-13.02,SPRAY THERMO PVMT MRKNG (60 mil) (6IN LINE),L.M.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 mil) (6IN LINE),Pavement Marking,Plastic-Thermal
716-13.03,SPRAY THERMO PVMT MRKNG (60 mil) (8IN BARRIER LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 mil) (8IN BARRIER LINE),Pavement Marking,Plastic-Thermal
716-13.04,SPRAY THERMO PVMT MRKNG (60 mil) (4IN DOTTED LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 mil) (4IN DOTTED LINE),Pavement Marking,Plastic-Thermal
716-13.05,SPRAY THERMO PVMT MRKNG (60 mil) (6IN DOTTED LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 mil) (6IN DOTTED LINE),Pavement Marking,Plastic-Thermal
716-13.06,SPRAY THERMO PVMT MRKNG (40 mil) (4IN LINE),L.M.,SPRAY THERMOPLASTIC PAVEMENT MARKING (40 mil) (4IN LINE),Pavement Marking,Plastic-Thermal
716-13.07,SPRAY THERMO PVMT MRKNG (40 mil) (6IN LINE),L.M.,SPRAY THERMOPLASTIC PAVEMENT MARKING (40 mil) (6IN LINE),Pavement Marking,Plastic-Thermal
716-13.08,SPRAY THERMO PVMT MRKNG (40 mil) (8IN BARRIER LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (40 mil) (8IN BARRIER LINE),Pavement Marking,Plastic-Thermal
716-13.09,SPRAY THERMO PVMT MRKNG (40 mil) (4IN DOTTED LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (40 mil) (4IN DOTTED LINE),Pavement Marking,Plastic-Thermal
716-13.10,SPRAY THERMO PVMT MRKNG (40 mil) (6IN DOTTED LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (40 mil) (6IN DOTTED LINE),Pavement Marking,Plastic-Thermal
716-13.11,SPRAY THERMO PVMT MRKNG (60 MIL 12IN BARRIER LINE),L.F.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 MIL 12IN BARRIER LINE),Pavement Marking,Plastic-Thermal
716-13.12,SPRAY THERMO PVMT MRKNG (60 mil) (6IN BLACK LEAD-LAG LINE),L.M.,SPRAY THERMOPLASTIC PAVEMENT MARKING (60 mil) (6IN BLACK LEAD-LAG LINE),,Plastic-Thermal
716-14.01,PROFILED THERMO PVMT MRKNG AUDIBLE (4IN),L.M.,PROFILED THERMOPLASTIC PAVEMENT MARKING AUDIBLE (4IN),Pavement Marking,Plastic-Thermal
716-14.02,PROFILED THERMO PVMT MRKNG AUDIBLE (6IN),L.M.,PROFILED THERMOPLASTIC PAVEMENT MARKING AUDIBLE (6IN),Pavement Marking,Plastic-Thermal
716-15.01,YELLOW TEXTURED BUFFER,S.Y.,YELLOW TEXTURED BUFFER,,Pavement Marking Misc.
716-15.10,PREFORMED PERMANENT TAPE (6IN LINE),L.F.,PREFORMED PERMANENT TAPE (6IN LINE),Pavement Marking,Plastic-Preformed
716-15.11,PREFORMED PERMANENT TAPE (8IN LINE),L.F.,PREFORMED PERMANENT TAPE (8IN LINE),Pavement Marking,Plastic-Preformed
716-15.12,PREFORMED PERMANENT TAPE (12IN LINE),L.F.,PREFORMED PERMANENT TAPE (12IN LINE),Pavement Marking,Plastic-Preformed
716-15.20,PREFORMED PERMANENT TAPE (24IN BARRIER LINE),L.F.,PREFORMED PERMANENT TAPE (24IN BARRIER LINE),Pavement Marking,Plastic-Preformed
716-16.10,PREFORMED  YIELD WORD (8FT W/ 1 ½IN BLACK CONTRAST),EACH,PREFORMED  YIELD WORD (8FT W/ 1 ½IN BLACK CONTRAST),,Plastic-Thermal
716-40.01,POLYUREA PAVEMENT MARKING (6IN LINE),L.M.,POLYUREA PAVEMENT MARKING (6IN LINE),Pavement Marking,Plastic-Thermal
716-40.02,POLYUREA PAVEMENT MARKINGS-WORDS-SYMBOLS,EACH,POLYUREA PAVEMENT MARKINGS-WORDS-SYMBOLS,Pavement Marking,Plastic-Thermal
716-40.03,POLYUREA PAVEMENT MARKING (STOP BAR),L.F.,POLYUREA PAVEMENT MARKING (STOP BAR),Pavement Marking,Plastic-Thermal
716-40.42,GROOVING FOR RECESSED PAVEMENT MARKING (SOLID),L.M.,GROOVING FOR RECESSED PAVEMENT MARKING (SOLID),Pavement Marking,Pavement Marking Misc.
716-50.01,ROADWAY CLEANING FOR PAVEMENT MARKING,L.M.,ROADWAY CLEANING FOR PAVEMENT MARKING,Pavement Marking,Pavement Marking Misc.
716-80.01,PROTECTIVE BOLLARDS,EACH,PROTECTIVE BOLLARDS,Pavement Marking,Pavement Marking Misc.
716-99.50,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,,Pavement Marking Misc.
716-99.51,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,,Pavement Marking Misc.
716-99.52,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,LS,DESIGN-BUILD STRIPING/PAVEMENT MARKINGS,,Pavement Marking Misc.
716-99.91,PAVEMENT MARKINGS,LS,PAVEMENT MARKINGS,,Pavement Marking Misc.
