item_no,description,unit,description_expanded,item_class,item_type
716-03.03,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),EACH,PLASTIC WORD PAVEMENT MARKING (STOP AHEAD),Pavement Marking,Plastic-Thermal
716-03.04,PLASTIC WORD PAVEMENT MARKING (SCHOOL),EACH,PLASTIC WORD PAVEMENT MARKING (SCHOOL),Pavement Marking,Plastic-Thermal
716-03.05,PLASTIC WORD PAVEMENT MARKING (BIKE LANE),EACH,PLASTIC WORD PAVEMENT MARKING (BIKE LANE),Pavement Marking,Plastic-Thermal
716-03.06,PLASTIC WORD PAVEMENT MARKING (SIGNAL AHEAD),EACH,PLASTIC WORD PAVEMENT MARKING (SIGNAL AHEAD),Pavement Marking,Plastic-Thermal
716-03.07,PLASTIC WORD PAVEMENT MARKING (STOP),EACH,PLASTIC WORD PAVEMENT MARKING (STOP),Pavement Marking,Plastic-Thermal
716-03.08,PLASTIC WORD PAVEMENT MARKING (PED-XING),EACH,PLASTIC WORD PAVEMENT MARKING (PED-XING),Pavement Marking,Plastic-Thermal
716-03.09,PLASTIC WORD PAVEMENT MARKING (                      ),EACH,PLASTIC WORD PAVEMENT MARKING (                      ),Pavement Marking,Plastic-Thermal
716-03.10,PLASTIC WORD PAVEMENT MARKING (                      ),EACH,PLASTIC WORD PAVEMENT MARKING (                      ),Pavement Marking,Plastic-Thermal
716-03.11,PLASTIC WORD PAVEMENT MARKING (                      ),EACH,PLASTIC WORD PAVEMENT MARKING (                      ),Pavement Marking,Plastic-Thermal
716-03.12,PLASTIC PVMT MARKING (DESCRIPTION),EACH,PLASTIC PAVEMENT MARKING (DESCRIPTION),Pavement Marking,Plastic-Preformed
716-03.13,PLASTIC PVMT MARKING (NO TRUCKS THIS LANE),EACH,PLASTIC PAVEMENT MARKING (NO TRUCKS THIS LANE),Pavement Marking,Plastic-Preformed
716-04.01,PLASTIC PAVEMENT MARKING (STRAIGHT-TURN ARROW),EACH,PLASTIC PAVEMENT MARKING (STRAIGHT-TURN ARROW),Pavement Marking,Plastic-Thermal
716-04.02,PLASTIC PAVEMENT MARKING(DOUBLE TURNING ARROW),EACH,PLASTIC PAVEMENT MARKING(DOUBLE TURNING ARROW),Pavement Marking,Plastic-Thermal
716-04.03,PLASTIC PAVEMENT MARKING (4 DOTTED LINE),L.F.,PLASTIC PAVEMENT MARKING (4 DOTTED LINE),Pavement Marking,Plastic-Thermal
716-04.04,PLASTIC PAVEMENT MARKING (TRANSVERSE SHOULDER),L.F.,PLASTIC PAVEMENT MARKING (TRANSVERSE SHOULDER),Pavement Marking,Plastic-Thermal
716-04.05,PLASTIC PAVEMENT MARKING (STRAIGHT ARROW),EACH,PLASTIC PAVEMENT MARKING (STRAIGHT ARROW),Pavement Marking,Plastic-Thermal
716-04.06,PLASTIC PAVEMENT MARKING (WRONG WAY ARROW),EACH,PLASTIC PAVEMENT MARKING (WRONG WAY ARROW),Pavement Marking,Plastic-Thermal
716-04.07,PLASTIC PAVEMENT MARKING (EXIT ONLY ARROW),EACH,PLASTIC PAVEMENT MARKING (EXIT ONLY ARROW),Pavement Marking,Plastic-Thermal
716-04.08,PLASTIC PAVEMENT MARKING (OPTION LANE ARROW),EACH,PLASTIC PAVEMENT MARKING (OPTION LANE ARROW),Pavement Marking,Plastic-Thermal
716-04.09,PLASTIC PAVEMENT MARKING (H.O.V. DIAMOND),EACH,PLASTIC PAVEMENT MARKING (H.O.V. DIAMOND),Pavement Marking,Plastic-Thermal
716-04.10,PLASTIC PAVEMENT MARKING (HANDICAP SYMBOL),EACH,PLASTIC PAVEMENT MARKING (HANDICAP SYMBOL),Pavement Marking,Plastic-Thermal
716-04.11,PLASTIC PAVEMENT MARKING (BICYCLE SYMBOL W/RIDER),EACH,PLASTIC PAVEMENT MARKING (BICYCLE SYMBOL WITH RIDER),Pavement Marking,Plastic-Thermal
716-04.12,PLASTIC PAVEMENT MARKING (YIELD LINE),S.F.,PLASTIC PAVEMENT MARKING (YIELD LINE),Pavement Marking,Plastic-Thermal
716-04.13,PLASTIC PAVEMENT MARKING (BIKELANE SYMBOL & ARROW),EACH,PLASTIC PAVEMENT MARKING (BIKELANE SYMBOL & ARROW),Pavement Marking,Plastic-Thermal
716-04.14,PLASTIC PAVEMENT MARKING (LANE REDUCTION ARROW),EACH,PLASTIC PAVEMENT MARKING (LANE REDUCTION ARROW),Pavement Marking,Plastic-Thermal
716-04.15,PLASTIC PAVEMENT MARKING-BIKE SYMBOL/ARROW SHARED,EACH,PLASTIC PAVEMENT MARKING-BIKE SYMBOL/ARROW SHARED,Pavement Marking,Plastic-Thermal
716-04.16,PLASTIC PAVEMENT MARKING (NOISE STRIP),L.F.,PLASTIC PAVEMENT MARKING (NOISE STRIP),Pavement Marking,Plastic-Thermal
716-04.17,PLASTIC PAVEMENT MARKING (YIELD SYMBOL),EACH,PLASTIC PAVEMENT MARKING (YIELD SYMBOL),Pavement Marking,Plastic-Thermal
716-04.18,PLASTIC PAVEMENT MARKING (BIKE/XING),EACH,PLASTIC PAVEMENT MARKING (BIKE/XING),Pavement Marking,Plastic-Thermal
716-04.21,GREEN TEXTURED BIKE LANE,S.Y.,GREEN TEXTURED BIKE LANE,Pavement Marking,Plastic-Thermal
716-04.23,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 1 ARROW),EACH,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 1 ARROW),Pavement Marking,Plastic-Thermal
716-04.24,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 2 ARROWS),EACH,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 2 ARROWS),Pavement Marking,Plastic-Thermal
716-04.25,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 3 ARROWS),EACH,PLASTIC PAVEMENT MARKING (FISH-HOOKS WITH 3 ARROWS),Pavement Marking,Plastic-Thermal
716-05.01,PAINTED PAVEMENT MARKING (4 LINE),L.M.,PAINTED PAVEMENT MARKING (4 LINE),Pavement Marking,Painted
716-05.02,PAINTED PAVEMENT MARKING (8 BARRIER LINE),L.F.,PAINTED PAVEMENT MARKING (8 BARRIER LINE),Pavement Marking,Painted
716-05.03,PAINTED PAVEMENT MARKING (CROSS-WALK),L.F.,PAINTED PAVEMENT MARKING (CROSS-WALK),Pavement Marking,Painted
